text,label
都是被套了！[流泪]7,0
谁在砸盘！主力在诱空！,0
早知道就不平仓了,0
[色]4,0
数字货币加油干,0
上方抛压盘太重了 至少还得洗一个月才会有起色,0
每天挂涨停买入。说不定就发财了,0
中天没跑掉卖不出去不成交啊，你呢怎么样老板？,0
有中间体生产,0
我滴妈！你们这些韭菜是怎么想的？这样能赚到钱才怪？你炒股入市就是为了解套来的吗？记住了炒股是为了赚钱的不是为了解套来的，好不好！,1
好的买不到 能让你买到的你觉得会让你赚钱吗<br />,0
主力已出2亿,0
以挂4.41不知道能否买进,0
你还不了解它吗,0
必须有，隔壁都晒图了，专供医护人员使用，每日一测。,0
主力不敢吹的牛，你敢吹。庄家不敢装的逼，你敢装。,0
根据研究机构预测结果，盐湖股份近6个月的平均目标价为48.00元。,0
这故事好，我准备守着开尔新材,0
低开是百分百的,0
[棒]27[棒]27[棒]27,0
看不懂啊，豆豆，我小白一个。求指点。,0
北向哦天解套跑了,0
找人接盘？,0
又又是拖拽，还带害人呢？,0
输时间，不会输钱，优秀股票很少了。,0
要破低了，这东西3块不能再多了,0
这边建议进厂拧螺丝,1
打脸,0
我也看完了，故事放在这里恰到好处，为作者点赞！,0
怎么拉黑,0
1个月的213，出来丢什么人，现什么眼?,0
论坛里别有用心的很多  不是都是本着交流为目的  ……,0
还幸亏不,0
好多年前股价30了，现在21，能跌到哪去？怕什么呀??,0
不怕跌就怕肾虚，这股就是肾虚中的肾虚完美的又一次躲过板块反弹，作孽走了走了买票还得买龙头活跃股,0
快上,0
9-16板,0
既不是？也不是？那么就什么都不是啦！大家也可以取关了，呵呵呵,0
李老师是谁啊,0
进就进，不用宣布给全世界知道。[闭嘴]12,0
等了快一个月了,0
买股就买价值股！！！不喜勿喷啊。我是老白????,0
怎么可能<br />,0
嗯2块在买,0
它做空a股 你们还要买他们家股票？？,0
你又猜错了。,0
反弹也不能做云铜，最弱的就是他。,0
美国准备第四针,0
神经,1
华蓝和东数西算有一点点关系，拿着吧,0
理想永远是最好的但现实到八九元不知到不到,0
你补了没有？回复补了多少股？,0
"脑子是不是有病,有病就去看医生",1
上涨的前三天陆续把股票卖了，全部梭哈宁波 ??,0
新疆,0
我两年前3.8买了8万股，4块就卖了,0
股神，后天还是跌停吗[吃瓜]15,0
南糖白送,0
恭喜,0
太可怕了求评论<br />从最近3年的年度表现来看，2020年是以“两瓶酒”为代表的大消费表演的一年。2021年是以宁德时代为代表的新能源表现的一年。显而易见三大板块中主要的两大板块在过去两年里都轮番表演过了。水皮想现在无论如何，即便从保守的角度来讲，如果有结构性机会，也只可能是大金融板块。大盘指数已经走坏，注定今年是震荡调整行情，高估值版块风险加大，主力资金调仓换股到低估值滞涨的银行金融版块，江浙地区的银行受益于当地经济发展，发展空间巨大，具有涨停基因的小市值紫金银行底部已出现，目前月线金叉，趋势处于上升通道，布局建仓时机，未来可期，正在酝酿大行情，全面注册制后银行股也会有20cm大长腿,0
有什么可谢的，我说的重点是要在涨停板卖出去，有几个听明白的，现在后悔了吧,0
哈，你真的是神。,0
看这样不像今天上市,0
谁在做空？你懂的！,0
实力打脸,1
等你不逼逼了，就该涨了,1
做你的春秋大梦把，这是个拉鸡🐔，底开是它的祖传密方,1
就你这脑子还炒股你只会一加一的逻辑！,1
你个大托,1
你看这个饼，又大又圆,1
专割你们这种死拿着的韭菜,1
呵呵想多了<br />,0
这股票每次拉高就是出货的机会，卖出了买入了恒宝股份，比这个强势，强势股最多调整不超过3天，看看连续涨停板板的股票，上个星期五就买入了恒宝股份，今天早上跌的时候直接买入，看好它。,0
跑不跑,0
劝你好自为之,0
别急等几天看看去年一年涨八个停板,0
他以为重组，沃日，这智商来买股票够呛,1
4.15满仓的,0
大胆一点1600,0
一样的浙江股，一样的基建，一样的中标地段，差距一个天一个地,0
你把宁波建工放哪里了？,0
同样的[流泪]7[流泪]7[流泪]7[流泪]7,0
，,0
玻璃那么惨你居然还那么稳,0
还哪能有那个价钱了，前期涨停吸筹，现在就是洗盘。,0
嗯,0
老千,0
现在保证金留够，随便它拉，总不能比菜油贵吧,0
没买贵人鸟就别逼逼,0
我也是，但我在28块钱又接回来了[笑哭],0
。。。。你还是别说话了。。。。。。,0
2020年7月就申请了牌照，现在还没有下来，是不是没有希望了？,0
"这种走势,哪天买都是最高点的。",0
是看错百川,0
大哥真牛,0
物极必反,0
不可能的,0
发哥刀都架脖子上了，煤炭还在扑腾，最低就在50了,0
你这个托太明显了吧，天天叫人接盘,1
