query	label
长安汽车00062533 持长安60天了，越陷越深，还有坚持没割肉的吗？[SEP]等着呗<br />割啥肉<br />坚持<br />坚持	未攻击用户
现在这价格随便买！	未攻击用户
2740了	未攻击用户
老师都说要突破新高再加仓的呀。	未攻击用户
专业坑人的？	攻击用户
你感觉这种保密数据，可能用进口CPU吗？	攻击用户
好奇你亏了多少[糗]5	未攻击用户
喝的72度的吧！53度的不可能醉这么快！	攻击用户
涨到30没问题，边洗边拉，洗的就是你	未攻击用户
就怕还要回踩20日线，震荡下行	未攻击用户
一会儿就高攀不起了[吃瓜]15	未攻击用户
会低开  高不高走   不好说	未攻击用户
戴维斯双击，这波行情可期	未攻击用户
应该买进去了吧?害得我浪费了5万手应该买进去了，我打压了五万手	未攻击用户
一派胡言	未攻击用户
你懂个鬼，强势的都是三天内上攻，超过五天就废了	未攻击用户
最近半年，共有219家机构对赛微电子进行了14次调研。	未攻击用户
百诚套傻了吧	未攻击用户
差不多亏了五十多W	未攻击用户
不要急4.8还有	未攻击用户
托	攻击用户
和你有毛关系？ 工资也给你发吗	攻击用户
牛逼！<br />	未攻击用户
就等你割了，我要开始拉了	未攻击用户
脑子是个好东西	未攻击用户
科华意大利子公司	未攻击用户
不要急东数西算基层建设需要她[龇牙]8	未攻击用户
一年差不多实现80元	未攻击用户
玉米，怎么可能哦，一天震荡才多少点	未攻击用户
真厉害	未攻击用户
这样的企业为啥核准这么高的发行价？有內幕操作？	未攻击用户
今天↑5个点	未攻击用户
就你这脑子还炒股	攻击用户
所以你买了吗	未攻击用户
还是要跌没有用	未攻击用户
5.5[龇牙]8[龇牙]8	未攻击用户
我也9块	未攻击用户
螺纹空单有利润，破4750加仓空	未攻击用户
利空就是A股开盘了，等收盘又涨上去	未攻击用户
加油瑶瑶	未攻击用户
你这个托	攻击用户
再投100万	未攻击用户
上市会发短信	未攻击用户
不涨停就溜了	未攻击用户
你是几构的托吗？忽悠小散接盘割韮菜吧！此股出货以完。	攻击用户
你是什么价位开的多？	未攻击用户
你一直在忽悠散户，你哪只眼睛明穴它业绩越来越好了？	攻击用户
亏大多了抛不了	未攻击用户
不是一直这样吗[吐血]11	未攻击用户
真正的天鹅必须天天一字	未攻击用户
董事长被抓，暴雷了。至少10个一字板跌停。参考华宝股份。	未攻击用户
股领	未攻击用户
木冰眉，挺有预感的，每次都猜得差不多	未攻击用户
